,RandomForest,XGBoost,CatBoost
L8_SR_B2_m05,0.0005436155941084125,0.002793318,0.028025387344020773
L8_SR_B2_m06,0.0010142045306031037,0.00050705986,0.07327712061149107
L8_SR_B2_m07,0.003099232670512312,0.0011290027,0.31873447523452303
L8_SR_B2_m08,0.007409030633660715,0.0046393448,0.7340640292454514
L8_SR_B2_m09,0.012574620582571739,0.0,0.03752399700921548
L8_SR_B2_m10,0.00012747563088195813,0.00036173302,0.0
L8_SR_B2_m11,0.0005116808322834188,0.0,0.9985637738903703
L8_SR_B2_m12,0.0005941497566964873,0.00034842687,0.16852027905197772
L8_SR_B3_m01,0.0006907621707774017,0.0,0.06992475134628275
L8_SR_B3_m02,0.0017330094158202838,0.0052772197,0.0
L8_SR_B3_m03,0.0010877965124925836,0.015616332,0.07428464687998926
L8_SR_B3_m04,0.001051391209148687,0.007890758,0.02035496619964592
L8_SR_B3_m05,0.0007953409632396889,0.0,0.0
L8_SR_B3_m06,0.0005029374872105234,0.0010168119,0.14880701821666678
L8_SR_B3_m07,0.0006535545292910373,0.0,0.0
L8_SR_B3_m08,0.0002482906245791131,0.0,0.0
L8_SR_B3_m09,0.000280311013542484,0.0,0.1034038183726313
L8_SR_B3_m10,0.00021828567686683773,0.0011951185,0.0
L8_SR_B3_m11,0.0009362334001874853,0.0012727332,0.0
L8_SR_B3_m12,0.0005771280842506856,0.00087673444,0.06514657858225723
L8_SR_B4_m01,0.000201756839748155,0.0,0.1961229262598932
L8_SR_B4_m02,0.0004889544388490547,0.0018440214,0.444050461255782
L8_SR_B4_m03,0.0013368708283114329,0.0,0.0
L8_SR_B4_m04,0.005342198941844578,0.0,0.01045082763087668
L8_SR_B4_m05,0.0009394414034123517,0.0009931305,0.2050811750045743
L8_SR_B4_m06,0.0003451680567106824,0.0,0.0
L8_SR_B4_m07,0.0016063100092256807,0.0014252485,0.16399038694428358
L8_SR_B4_m08,0.0013163443037198194,0.0009498828,0.8146601352684909
L8_SR_B4_m09,0.011311610368590345,0.0,0.0
L8_SR_B4_m10,0.00041291577862282087,0.0,0.08729369721250244
L8_SR_B4_m11,0.00022808850115516022,0.0,0.0
L8_SR_B4_m12,0.000264765718137431,0.0,0.030513643279287257
L8_SR_B5_m01,0.00044388073303813335,0.0,0.0
L8_SR_B5_m02,0.0006276015832323568,0.00057489297,0.1631464558743998
L8_SR_B5_m03,0.00036480385005614437,0.0016856287,0.02161141207293504
L8_SR_B5_m04,0.00044685481689716065,0.0,0.112031977495527
L8_SR_B5_m05,0.0004190092235459922,0.0014095429,1.0272017987933917
L8_SR_B5_m06,0.0012343285664400956,0.0018548233,0.13122126257386268
L8_SR_B5_m07,0.00658316348149344,0.0011410452,0.0
L8_SR_B5_m08,0.0013020226175126234,0.0,0.11047959126486959
L8_SR_B5_m09,0.02027243243034317,0.034630742,3.7955917990909542
L8_SR_B5_m10,0.00045086771163203095,0.0009796796,0.02843998959022434
L8_SR_B5_m11,0.00029145134569033055,0.0013018034,0.0
