RandomForest,XGBoost,CatBoost,TempCNN
0.94,0.94,0.9,0.94
0.8837908988341482,0.8646517739816032,0.9029949142964777,0.7865888114522509
0.8877111626366346,0.9243134628265238,0.9048661390806533,0.8864701942397857
0.9365962180200222,0.9153674832962138,0.9155555555555556,0.8733333333333333
0.9250962548127406,0.9250962548127406,0.9065175607199021,0.9064194507608886
0.9306930693069307,0.9648345153664303,0.9650924024640657,0.947829899167032
0.9201790376725103,0.8996812300768798,0.9398087380461279,0.9391469194312796
0.9422448238285507,0.9422448238285507,0.9422448238285507,0.9231884057971015
0.8988673139158576,0.8788368336025848,0.8991935483870968,0.8788368336025848
0.8290935148692224,0.7726135144797998,0.8864691181720814,0.792008562254727
0.8926450433988122,0.8926450433988122,0.8926450433988122,0.9355870260392873
0.9325295617899374,0.9106402579456472,0.9334248455730954,0.9547152194211018
0.9000799360511591,0.94,0.94,0.86
0.9380008435259384,0.9587715607909129,0.9376854599406528,0.9585623678646934
0.936821103968078,0.9158174568010633,0.9157054125998225,0.8945615982241953
